name	male_count	female_count	overall_count	male_ratio	female_ratio	max_ratio	predominant_gender
alysonn	0.0	22.0	22.0	0.0	1.0	1.0	Female
alyss	0.0	40.0	40.0	0.0	1.0	1.0	Female
alyssa	0.0	11262.0	11262.0	0.0	1.0	1.0	Female
alyssah	0.0	24.0	24.0	0.0	1.0	1.0	Female
alyssandre	0.0	40.0	40.0	0.0	1.0	1.0	Female
alysse	0.0	212.0	212.0	0.0	1.0	1.0	Female
alyssia	0.0	4225.0	4225.0	0.0	1.0	1.0	Female
alyssio	29.0	0.0	29.0	1.0	0.0	1.0	Male
alysson	0.0	1418.0	1418.0	0.0	1.0	1.0	Female
alyssone	0.0	72.0	72.0	0.0	1.0	1.0	Female
alyséa	0.0	33.0	33.0	0.0	1.0	1.0	Female
alysée	0.0	120.0	120.0	0.0	1.0	1.0	Female
alyx	91.0	207.0	298.0	0.3053691275167785	0.6946308724832215	0.6946308724832215	Female
alyxe	0.0	33.0	33.0	0.0	1.0	1.0	Female
alyxia	0.0	63.0	63.0	0.0	1.0	1.0	Female
alyze	0.0	48.0	48.0	0.0	1.0	1.0	Female
alyzea	0.0	85.0	85.0	0.0	1.0	1.0	Female
alyzee	0.0	436.0	436.0	0.0	1.0	1.0	Female
alyzia	0.0	25.0	25.0	0.0	1.0	1.0	Female
alyzé	0.0	40.0	40.0	0.0	1.0	1.0	Female
alyzéa	0.0	69.0	69.0	0.0	1.0	1.0	Female
alyzée	0.0	303.0	303.0	0.0	1.0	1.0	Female
alzina	0.0	64.0	64.0	0.0	1.0	1.0	Female
alzira	0.0	125.0	125.0	0.0	1.0	1.0	Female
alzire	34.0	83.0	117.0	0.2905982905982906	0.7094017094017094	0.7094017094017094	Female
alâa	0.0	20.0	20.0	0.0	1.0	1.0	Female
alès	53.0	0.0	53.0	1.0	0.0	1.0	Male
aléa	0.0	38.0	38.0	0.0	1.0	1.0	Female
aléandro	43.0	0.0	43.0	1.0	0.0	1.0	Male
alécia	0.0	39.0	39.0	0.0	1.0	1.0	Female
alécio	27.0	0.0	27.0	1.0	0.0	1.0	Male
aléna	0.0	346.0	346.0	0.0	1.0	1.0	Female
aléria	0.0	20.0	20.0	0.0	1.0	1.0	Female
alésia	0.0	142.0	142.0	0.0	1.0	1.0	Female
alésio	59.0	0.0	59.0	1.0	0.0	1.0	Male
aléssia	0.0	85.0	85.0	0.0	1.0	1.0	Female
aléssio	211.0	0.0	211.0	1.0	0.0	1.0	Male
aléxia	0.0	90.0	90.0	0.0	1.0	1.0	Female
aléxis	81.0	0.0	81.0	1.0	0.0	1.0	Male
aléya	0.0	21.0	21.0	0.0	1.0	1.0	Female
alézia	0.0	54.0	54.0	0.0	1.0	1.0	Female
alézio	114.0	0.0	114.0	1.0	0.0	1.0	Male
alïa	0.0	70.0	70.0	0.0	1.0	1.0	Female
ama	20.0	109.0	129.0	0.15503875968992248	0.8449612403100775	0.8449612403100775	Female
